post_id,title,category,score,num_comments,author,collected_at
47755629,Someone bought 30 WordPress plugins and planted a backdoor in all of them,technology,707,200,speckx,2026-04-13 19:23:25
47757495,GitHub Stacked PRs,technology,441,254,ezekg,2026-04-13 19:23:25
47759709,Lean proved this program correct; then I found a bug,technology,90,50,bumbledraven,2026-04-13 19:23:25
47759341,WiiFin – Jellyfin Client for Nintendo Wii,technology,57,16,throwawayk7h,2026-04-13 19:23:25
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,359,175,m-hodges,2026-04-13 19:23:25
47756321,How to make Firefox builds 17% faster,technology,135,20,mbitsnbites,2026-04-13 19:23:25
47751781,US appeals court declares 158-year-old home distilling ban unconstitutional,technology,303,230,t-3,2026-04-13 19:23:25
47750872,Servo is now available on crates.io,technology,428,138,ffin,2026-04-13 19:23:25
47728970,"Write less code, be more responsible",technology,25,15,orhunp_,2026-04-13 19:23:25
47752819,Make tmux pretty and usable (2024),technology,316,204,speckx,2026-04-13 19:23:25
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,100,24,galaxyLogic,2026-04-13 19:23:25
47753689,Building a CLI for all of Cloudflare,technology,260,84,soheilpro,2026-04-13 19:23:25
47718284,Design and implementation of DuckDB internals,technology,15,3,mpweiher,2026-04-13 19:23:25
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,109,24,cvrajeesh,2026-04-13 19:23:25
47729350,I Just Want Simple S3,technology,106,60,g0xA52A2A,2026-04-13 19:23:25
47729046,Air Powered Segment Display? [video],technology,47,9,ProfDreamer,2026-04-13 19:23:25
47759292,The AI revolution in math has arrived,technology,13,1,sonabinu,2026-04-13 19:23:25
47750669,Android now stops you sharing your location in photos,technology,304,273,edent,2026-04-13 19:23:25
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,36,10,mufeedvh,2026-04-13 19:23:25
47728823,What we learned building a Rust runtime for TypeScript,technology,41,9,vinhnx,2026-04-13 19:23:25
47743728,Tracking down a 25% Regression on LLVM RISC-V,technology,99,19,luu,2026-04-13 19:23:25
47757595,Mathematical minimalism,technology,27,1,chmaynard,2026-04-13 19:23:25
47756036,Visualizing CPU Pipelining (2024),technology,62,9,flipacholas,2026-04-13 19:23:25
47755209,B-trees and database indexes (2024),technology,86,37,tosh,2026-04-13 19:23:25
47759416,Why it's impossible to measure England's coastline,technology,14,11,BiraIgnacio,2026-04-13 19:23:25
47728192,"If you started a company two years ago, many assumptions are no longer true",technology,143,113,tie-in,2026-04-13 19:23:25
47755573,New Orleans's Car-Crash Conspiracy,technology,73,39,Geekette,2026-04-13 19:23:25
47729694,Introduction to Obsidian,technology,155,107,bryanhogan,2026-04-13 19:23:25
47756876,Just Enough Chimera Linux,technology,43,8,speckx,2026-04-13 19:23:25
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,79,36,bookofjoe,2026-04-13 19:23:25
47757426,Ascending into the Realm of Japanese Charts,technology,41,1,speckx,2026-04-13 19:23:25
47757552,Show HN: Continual Learning with .md,entertainment,20,10,wenhan_zhou,2026-04-13 19:23:25
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,74,24,mfilion,2026-04-13 19:23:25
47754379,"The Future of Everything Is Lies, I Guess: Safety",technology,281,156,aphyr,2026-04-13 19:23:25
47751936,"Microsoft isn't removing Copilot from Windows 11, it's just renaming it",technology,331,245,bundie,2026-04-13 19:23:25
47752884,This year’s insane timeline of hacks,technology,285,169,laurex,2026-04-13 19:23:25
47746610,All elementary functions from a single binary operator,technology,801,250,pizza,2026-04-13 19:23:25
47756672,The looming college-enrollment death spiral,technology,94,110,JumpCrisscross,2026-04-13 19:23:25
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,206,116,iamnothere,2026-04-13 19:23:25
47758263,Tokens – The New Dopamine Economy,technology,12,2,jesol,2026-04-13 19:23:25
47755604,Tax Wrapped 2025,technology,102,57,entrapi,2026-04-13 19:23:25
47757013,Verification Debt Is Your Next Headache,technology,7,0,speckx,2026-04-13 19:23:25
47758343,CIA reportedly used Pegasus software during rescue of airman in Iran,technology,29,0,Cider9986,2026-04-13 19:23:25
47759433,Kiro CLI 2.0,technology,9,0,salkahfi,2026-04-13 19:23:25
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,391,258,kiyanwang,2026-04-13 19:23:25
